Well	Cycle	Target Name	Rn	dRn
A10	22	GAPDH	0.5017	-0.0031
A10	23	GAPDH	0.5078	-0.0007
A10	24	GAPDH	0.5094	-0.0029
A10	25	GAPDH	0.5163	0.0003
A10	26	GAPDH	0.5207	0.0009
A10	27	GAPDH	0.5341	0.0107
A10	28	GAPDH	0.5521	0.0249
A10	29	GAPDH	0.5827	0.0518
A10	30	GAPDH	0.6366	0.102
A10	31	GAPDH	0.7272	0.1888
A10	32	GAPDH	0.8498	0.3077
A10	33	GAPDH	0.9791	0.4332
A10	34	GAPDH	1.0954	0.5458
A10	35	GAPDH	1.1995	0.6461
A10	36	GAPDH	1.2914	0.7343
A10	37	GAPDH	1.3781	0.8173
A10	38	GAPDH	1.4584	0.8938
A10	39	GAPDH	1.5414	0.9731
A10	40	GAPDH	1.6161	1.0441
A11	1	GAPDH	0.2274	-0.0087
A11	2	GAPDH	0.2364	-0.0018
A11	3	GAPDH	0.2408	0.0005
A11	4	GAPDH	0.2425	0
A11	5	GAPDH	0.2471	0.0024
A11	6	GAPDH	0.2473	0.0005
A11	7	GAPDH	0.2487	-0.0002
A11	8	GAPDH	0.2518	0.0007
A11	9	GAPDH	0.2522	-0.001
A11	10	GAPDH	0.2546	-0.0008
A11	11	GAPDH	0.2569	-0.0007
A11	12	GAPDH	0.2599	0.0002
A11	13	GAPDH	0.2612	-0.0006
A11	14	GAPDH	0.2616	-0.0024
A11	15	GAPDH	0.2649	-0.0013
A11	16	GAPDH	0.2674	-0.0009
A11	17	GAPDH	0.2692	-0.0012
A11	18	GAPDH	0.2719	-0.0007
A11	19	GAPDH	0.2757	0.001
A11	20	GAPDH	0.2815	0.0046
A11	21	GAPDH	0.2881	0.009
A11	22	GAPDH	0.3014	0.0202
A11	23	GAPDH	0.3273	0.0439
A11	24	GAPDH	0.3686	0.0831
A11	25	GAPDH	0.4407	0.1531
A11	26	GAPDH	0.5495	0.2597
A11	27	GAPDH	0.6772	0.3853
A11	28	GAPDH	0.7958	0.5017
A11	29	GAPDH	0.8967	0.6005
A11	30	GAPDH	0.9868	0.6884
A11	31	GAPDH	1.07	0.7694
A11	32	GAPDH	1.149	0.8463
A11	33	GAPDH	1.2227	0.9178
A11	34	GAPDH	1.2957	0.9887
A11	35	GAPDH	1.3635	1.0543
A11	36	GAPDH	1.4307	1.1194
A11	37	GAPDH	1.4916	1.1782
A11	38	GAPDH	1.5514	1.2358
A11	39	GAPDH	1.6075	1.2898
A11	40	GAPDH	1.6613	1.3414
A12	1	GAPDH	0.1372	-0.0178
A12	2	GAPDH	0.1485	-0.0093
A12	3	GAPDH	0.1564	-0.0042
A12	4	GAPDH	0.1606	-0.0029
A12	5	GAPDH	0.1665	0.0002
A12	6	GAPDH	0.1698	0.0006
A12	7	GAPDH	0.1742	0.0023
A12	8	GAPDH	0.1775	0.0027
A12	9	GAPDH	0.1806	0.003
A12	10	GAPDH	0.1835	0.003
A12	11	GAPDH	0.1842	0.0009
A12	12	GAPDH	0.1864	0.0003
A12	13	GAPDH	0.1888	-0.0002
A12	14	GAPDH	0.1905	-0.0013
A12	15	GAPDH	0.1932	-0.0013
A12	16	GAPDH	0.196	-0.0014
A12	17	GAPDH	0.1978	-0.0024
A12	18	GAPDH	0.2028	-0.0002
A12	19	GAPDH	0.2052	-0.0007
A12	20	GAPDH	0.2103	0.0016
A12	21	GAPDH	0.2155	0.0039
A12	22	GAPDH	0.2296	0.0152
A12	23	GAPDH	0.2587	0.0415
A12	24	GAPDH	0.3063	0.0863
A12	25	GAPDH	0.3834	0.1606
A12	26	GAPDH	0.4981	0.2724
A12	27	GAPDH	0.6281	0.3996
A12	28	GAPDH	0.7476	0.5163
A12	29	GAPDH	0.8483	0.6142
A12	30	GAPDH	0.9419	0.7049
A12	31	GAPDH	1.0256	0.7859
A12	32	GAPDH	1.1043	0.8617
A12	33	GAPDH	1.1797	0.9343
A12	34	GAPDH	1.2519	1.0037
A12	35	GAPDH	1.3241	1.0731
A12	36	GAPDH	1.3874	1.1335
A12	37	GAPDH	1.451	1.1942
A12	38	GAPDH	1.5133	1.2537
A12	39	GAPDH	1.5699	1.3075
A12	40	GAPDH	1.6283	1.3631
B1	1	GAPDH	0.257	-0.0029
B1	2	GAPDH	0.2669	0.0042
B1	3	GAPDH	0.2672	0.0018
B1	4	GAPDH	0.2692	0.0009
B1	5	GAPDH	0.2709	-0.0002
B1	6	GAPDH	0.2723	-0.0015
B1	7	GAPDH	0.2767	0
B1	8	GAPDH	0.2801	0.0006
B1	9	GAPDH	0.2827	0.0004
B1	10	GAPDH	0.2848	-0.0002
B1	11	GAPDH	0.2868	-0.0011
B1	12	GAPDH	0.291	0.0004
B1	13	GAPDH	0.2924	-0.001
B1	14	GAPDH	0.2953	-0.0009
B1	15	GAPDH	0.2974	-0.0016
B1	16	GAPDH	0.3011	-0.0007
B1	17	GAPDH	0.3034	-0.0012
B1	18	GAPDH	0.308	0.0006
B1	19	GAPDH	0.3109	0.0008
B1	20	GAPDH	0.3157	0.0028
B1	21	GAPDH	0.324	0.0083
B1	22	GAPDH	0.3354	0.0169
B1	23	GAPDH	0.3542	0.0329
B1	24	GAPDH	0.3902	0.0661
B1	25	GAPDH	0.4522	0.1253
B1	26	GAPDH	0.5512	0.2215
B1	27	GAPDH	0.6761	0.3436
B1	28	GAPDH	0.7979	0.4626
B1	29	GAPDH	0.9075	0.5694
B1	30	GAPDH	1.0082	0.6673
B1	31	GAPDH	1.0987	0.755
B1	32	GAPDH	1.1856	0.8391
B1	33	GAPDH	1.2656	0.9163
B1	34	GAPDH	1.3422	0.9901
B1	35	GAPDH	1.4197	1.0649
B1	36	GAPDH	1.4925	1.1348
B1	37	GAPDH	1.5596	1.1992
B1	38	GAPDH	1.6254	1.2622
B1	39	GAPDH	1.6905	1.3245
B1	40	GAPDH	1.7489	1.3801
B2	1	GAPDH	0.316	0.0003
B2	2	GAPDH	0.3199	0.001
B2	3	GAPDH	0.3225	0.0003
B2	4	GAPDH	0.324	-0.0015
B2	5	GAPDH	0.3281	-0.0008
B2	6	GAPDH	0.332	-0.0002
B2	7	GAPDH	0.3359	0.0004
B2	8	GAPDH	0.34	0.0012
B2	9	GAPDH	0.3424	0.0003
B2	10	GAPDH	0.3468	0.0014
B2	11	GAPDH	0.3493	0.0006
B2	12	GAPDH	0.3532	0.0012
B2	13	GAPDH	0.3554	0.0001
B2	14	GAPDH	0.358	-0.0006
B2	15	GAPDH	0.361	-0.0009
B2	16	GAPDH	0.3638	-0.0015
B2	17	GAPDH	0.3679	-0.0007
B2	18	GAPDH	0.3711	-0.0008
B2	19	GAPDH	0.3751	-0.0001
B2	20	GAPDH	0.3803	0.0017
B2	21	GAPDH	0.3884	0.0065
B2	22	GAPDH	0.4002	0.015
B2	23	GAPDH	0.4213	0.0329
B2	24	GAPDH	0.4584	0.0666
B2	25	GAPDH	0.5223	0.1272
B2	26	GAPDH	0.6222	0.2238
B2	27	GAPDH	0.7459	0.3442
B2	28	GAPDH	0.8644	0.4594
B2	29	GAPDH	0.9693	0.561
B2	30	GAPDH	1.0632	0.6516
B2	31	GAPDH	1.1526	0.7376
B2	32	GAPDH	1.234	0.8158
B2	33	GAPDH	1.3153	0.8937
B2	34	GAPDH	1.3915	0.9666
B2	35	GAPDH	1.4648	1.0366
B2	36	GAPDH	1.5329	1.1014
B2	37	GAPDH	1.5992	1.1644
B2	38	GAPDH	1.6639	1.2258
B2	39	GAPDH	1.7246	1.2831
B2	40	GAPDH	1.7841	1.3393
