Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14
13	B1	GAPDH	SYBR	74447.2656	68868.0859	63849.1484	59234.25	55216.0703	50505.4453	45499.0938	38735.2695	4888.7026	3417.9248	2300.4597	1272.1252	303.8864	-575.2791
14	B2	GAPDH	SYBR	114550.1562	104287.875	94550.3125	86287.25	79008.3125	71857.8203	63556.9688	52989.5508	8741.4062	6835.4009	5349.1558	3948.8391	2645.6404	1432.9359
15	B3	GAPDH	SYBR	100182.4219	92807.1562	85616.2891	79151.625	73070.4453	66934.1094	60026.8281	49623.3164	7959.7153	6362.3184	4962.0342	3721.2507	2569.0605	1494.9185
16	B4	GAPDH	SYBR	118906.5156	112141.5625	103392.2344	95964.3828	89067.2656	82195.2344	73452.5625	60147.6641	10787.3818	9044.3994	7526.0386	6089.7251	4774.0483	3531.7144
17	B5	GAPDH	SYBR	105626.3516	97341.3984	89353.0547	82369.8438	75881.6719	69674.7344	63456.7891	50168.832	8949.4375	7247.6895	5754.0547	4390.4404	3181.2888	2066.6035
18	B6	GAPDH	SYBR	111709.6484	103295.9922	95545.7188	88746.9609	82311.5156	75428.125	66660.1953	51346.9336	8974.3418	7274.6396	5696.1577	4254.1494	2924.8845	1675.76
19	B7	OSM-9	SYBR	148107.7344	137386.5	125189.5469	113832.5156	102028.2031	90413.4609	79058.9609	66564.3203	10096.8193	8238.832	6530.2251	4957.3174	3528.9709	2299.3044
20	B8	OSM-9	SYBR	156445.2031	148080.5469	138583.6875	128067.9609	117489.2344	106136.7188	94726.9141	79966.5	14682.3809	12675.0039	10682.1904	8852.3096	7187.2822	5707.7842
21	B9	OSM-9	SYBR	159867.375	153197.1094	146364.375	138301.5312	129381.9297	119198.2422	108199.6562	92939.7969	17341.1875	15325.3965	13386.3506	11500.5645	9891.2471	8359.5293
22	B10	OSM-9	SYBR	175932.6719	168306.2812	160081.0469	151070.5	140056.4375	128992.2656	116415.9922	98254.9609	16499.0605	14396.1182	12394.2725	10382.2285	8654.8965	7067.1069
23	B11	OSM-9	SYBR	61127.4102	57286.6914	54011.5156	50355.2734	46343.3438	42664	38583.9961	32278.0352	1339.5594	546.3745	-179.8463	-833.8283	-1448.6471	-1936.7148
24	B12	OSM-9	SYBR	54287.9492	51586.4219	48463.918	45195.7891	41698.3516	37967.8008	34524.5195	29229.9102	491.2474	-241.7933	-933.5869	-1567.8726	-2164.5596	-2645.1936
25	C1	OSM-9	SYBR	90473.6953	85708.0781	80251.3047	74720.6875	69338.125	63662.9688	57888.2422	52450.1055	11952.1816	4986.709	3886.3643	2840.6965	1959.5391	1112.5743
26	C2	OSM-9	SYBR	136481.8125	126789.5234	117006.3906	107919.3906	99305.75	90681.0859	82941.1797	72945.875	14573.3574	9448.7168	7766.0884	6230.4922	4800.9097	3501.2
27	C3	OSM-9	SYBR	60613.125	53996.1172	47887.2344	42813.0391	38136.9297	33898.3711	29542.0078	25368.9297	8114.7764	6007.2192	4509.9155	3213.844	2015.7123	937.1438
