Well	Sample Name	Target Name	Task	Reporter	Quencher	Ct	Ct Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD
E6	Bp L3 37C 4 HR	TAX-4	UNKNOWN	SYBR	None	29.8299	29.9998	0.1213				true	0.1379	true	3	25	77.8651				N	N
E7		GAPDH	NTC	SYBR	None	Undetermined						true	0.1159	true	3	39	61.2473				N	N
E8		OSM-9	NTC	SYBR	None	Undetermined						true	0.0643	true	3	39	61.4044				N	N
E9		TAX-4	NTC	SYBR	None	29.7832	29.7832					true	0.1379	true	3	25	78.3943				Y	N
E10																					N	N
E11																					N	N
E12																					N	N
F1																					N	N
F2																					N	N
F3																					N	N
F4																					N	N
F5																					N	N
F6																					N	N
F7																					N	N
F8																					N	N
F9																					N	N
F10																					N	N
F11																					N	N
F12																					N	N
G1																					N	N
G2																					N	N
G3																					N	N
G4																					N	N
G5																					N	N
G6																					N	N
G7																					N	N
G8																					N	N
G9																					N	N
G10																					N	N
G11																					N	N
G12																					N	N
H1																					N	N
H2																					N	N
H3																					N	N
H4																					N	N
H5																					N	N
H6																					N	N
H7																					N	N
H8																					N	N
H9																					N	N
H10																					N	N
H11																					N	N
H12																					N	N
